contrast,direction,time
0.899999843,right,2.796633959
0.899999976,right,1.155751944
0.899999976,right,1.111851931
0.899999976,left,1.967621088
0.899999976,right,1.824705839
0.899999976,right,1.158569098
0.899999976,right,0.842684031
0.899999976,right,1.313566923
0.899999976,right,2.287791014
0.899999976,left,2.501172066
0.899999976,left,3.004289865
0.899999976,left,2.15218401
0.899999976,right,1.423223972
0.899999976,right,1.300808191
0.899999976,right,0.878239155
0.899999976,right,1.823499918
0.899999976,left,2.426934004
0.75,right,1.321311951
0.75,right,1.053135872
0.75,right,2.091557026
0.75,right,1.675585985
0.75,left,1.743746996
0.75,right,0.967804909
0.75,left,2.156605005
0.75,right,1.420713902
0.75,right,1.75061202
0.75,left,3.050349951
0.75,right,2.113049984
0.75,left,2.227314949
0.75,left,1.616474152
0.75,right,2.096888781
0.75,left,2.387837887
0.75,left,1.818320036
0.75,left,1.461812973
0.600000045,left,3.185811996
0.600000024,left,3.150891066
0.600000024,left,2.110249043
0.600000024,right,1.030812025
0.600000024,left,1.983097792
0.600000024,left,2.544137001
0.600000024,right,1.521572113
0.600000024,left,2.387796164
0.600000024,left,2.06670785
0.600000024,right,1.542798042
0.600000024,left,1.814126015
0.600000024,right,1.762802124
0.600000024,left,1.854408979
0.600000024,left,2.443447828
0.600000024,right,1.523360014
0.600000024,left,1.616806984
0.600000024,right,1.685096025
